road_id,location,vehicle_count,avg_speed,date_time,zone_name
R001,Madhapur,1801,39,2026-05-01 00:00,West Hyderabad
R002,Banjara Hills,1257,33,2026-05-01 00:00,Central City
R003,Secunderabad,1384,26,2026-05-01 00:00,North Hyderabad
R001,Madhapur,1732,25,2026-05-01 01:00,West Hyderabad
R002,Banjara Hills,1904,39,2026-05-01 01:00,Central City
R003,Secunderabad,1330,29,2026-05-01 01:00,North Hyderabad
R001,Madhapur,1066,38,2026-05-01 02:00,West Hyderabad
R002,Banjara Hills,1620,20,2026-05-01 02:00,Central City
R003,Secunderabad,1517,30,2026-05-01 02:00,North Hyderabad
R001,Madhapur,1107,39,2026-05-01 03:00,West Hyderabad
R002,Banjara Hills,1750,20,2026-05-01 03:00,Central City
R003,Secunderabad,1865,40,2026-05-01 03:00,North Hyderabad
R001,Madhapur,1072,34,2026-05-01 04:00,West Hyderabad
R002,Banjara Hills,1081,26,2026-05-01 04:00,Central City
R003,Secunderabad,1875,22,2026-05-01 04:00,North Hyderabad
R001,Madhapur,1672,26,2026-05-01 05:00,West Hyderabad
R002,Banjara Hills,948,39,2026-05-01 05:00,Central City
R003,Secunderabad,1916,27,2026-05-01 05:00,North Hyderabad
R001,Madhapur,1650,38,2026-05-01 06:00,West Hyderabad
R002,Banjara Hills,1352,21,2026-05-01 06:00,Central City
R003,Secunderabad,1726,40,2026-05-01 06:00,North Hyderabad
R001,Madhapur,1549,35,2026-05-01 07:00,West Hyderabad
R002,Banjara Hills,1672,35,2026-05-01 07:00,Central City
R003,Secunderabad,1904,23,2026-05-01 07:00,North Hyderabad
R001,Madhapur,1257,35,2026-05-01 08:00,West Hyderabad
R002,Banjara Hills,1540,22,2026-05-01 08:00,Central City
R003,Secunderabad,1923,38,2026-05-01 08:00,North Hyderabad
R001,Madhapur,1926,28,2026-05-01 09:00,West Hyderabad
R002,Banjara Hills,1250,20,2026-05-01 09:00,Central City
R003,Secunderabad,1279,39,2026-05-01 09:00,North Hyderabad
R001,Madhapur,1833,25,2026-05-01 10:00,West Hyderabad
R002,Banjara Hills,1230,27,2026-05-01 10:00,Central City
R003,Secunderabad,1792,25,2026-05-01 10:00,North Hyderabad
R001,Madhapur,1904,31,2026-05-01 11:00,West Hyderabad
R002,Banjara Hills,1833,35,2026-05-01 11:00,Central City
R003,Secunderabad,1747,23,2026-05-01 11:00,North Hyderabad
R001,Madhapur,1956,20,2026-05-01 12:00,West Hyderabad
R002,Banjara Hills,1470,21,2026-05-01 12:00,Central City
R003,Secunderabad,1307,37,2026-05-01 12:00,North Hyderabad
R001,Madhapur,957,40,2026-05-01 13:00,West Hyderabad
R002,Banjara Hills,1603,30,2026-05-01 13:00,Central City
R003,Secunderabad,1607,35,2026-05-01 13:00,North Hyderabad
R001,Madhapur,1722,27,2026-05-01 14:00,West Hyderabad
R002,Banjara Hills,1164,25,2026-05-01 14:00,Central City
R003,Secunderabad,1780,25,2026-05-01 14:00,North Hyderabad
R001,Madhapur,842,40,2026-05-01 15:00,West Hyderabad
R002,Banjara Hills,1267,39,2026-05-01 15:00,Central City
R003,Secunderabad,1756,28,2026-05-01 15:00,North Hyderabad
R001,Madhapur,1110,30,2026-05-01 16:00,West Hyderabad
R002,Banjara Hills,858,31,2026-05-01 16:00,Central City
R003,Secunderabad,851,29,2026-05-01 16:00,North Hyderabad
R001,Madhapur,1000,26,2026-05-01 17:00,West Hyderabad
R002,Banjara Hills,1386,24,2026-05-01 17:00,Central City
R003,Secunderabad,1390,24,2026-05-01 17:00,North Hyderabad
R001,Madhapur,1154,21,2026-05-01 18:00,West Hyderabad
R002,Banjara Hills,1349,33,2026-05-01 18:00,Central City
R003,Secunderabad,1614,35,2026-05-01 18:00,North Hyderabad
R001,Madhapur,956,40,2026-05-01 19:00,West Hyderabad
R002,Banjara Hills,1072,34,2026-05-01 19:00,Central City
R003,Secunderabad,1634,22,2026-05-01 19:00,North Hyderabad
R001,Madhapur,1332,26,2026-05-01 20:00,West Hyderabad
R002,Banjara Hills,1094,27,2026-05-01 20:00,Central City
R003,Secunderabad,1072,26,2026-05-01 20:00,North Hyderabad
R001,Madhapur,1755,40,2026-05-01 21:00,West Hyderabad
R002,Banjara Hills,1839,39,2026-05-01 21:00,Central City
R003,Secunderabad,1537,22,2026-05-01 21:00,North Hyderabad
R001,Madhapur,1016,33,2026-05-01 22:00,West Hyderabad
R002,Banjara Hills,1891,27,2026-05-01 22:00,Central City
R003,Secunderabad,1151,28,2026-05-01 22:00,North Hyderabad
R001,Madhapur,1208,35,2026-05-01 23:00,West Hyderabad
R002,Banjara Hills,1291,37,2026-05-01 23:00,Central City
R003,Secunderabad,1577,37,2026-05-01 23:00,North Hyderabad
R001,Madhapur,856,30,2026-05-02 00:00,West Hyderabad
R002,Banjara Hills,1783,32,2026-05-02 00:00,Central City
R003,Secunderabad,1172,29,2026-05-02 00:00,North Hyderabad
R001,Madhapur,1920,21,2026-05-02 01:00,West Hyderabad
R002,Banjara Hills,1280,26,2026-05-02 01:00,Central City
R003,Secunderabad,1734,34,2026-05-02 01:00,North Hyderabad
R001,Madhapur,1853,29,2026-05-02 02:00,West Hyderabad
R002,Banjara Hills,1069,30,2026-05-02 02:00,Central City
R003,Secunderabad,1865,27,2026-05-02 02:00,North Hyderabad
R001,Madhapur,1235,35,2026-05-02 03:00,West Hyderabad
R002,Banjara Hills,824,34,2026-05-02 03:00,Central City
R003,Secunderabad,1330,34,2026-05-02 03:00,North Hyderabad
R001,Madhapur,1943,28,2026-05-02 04:00,West Hyderabad
R002,Banjara Hills,1266,21,2026-05-02 04:00,Central City
R003,Secunderabad,1930,30,2026-05-02 04:00,North Hyderabad
R001,Madhapur,1297,20,2026-05-02 05:00,West Hyderabad
R002,Banjara Hills,1966,28,2026-05-02 05:00,Central City
R003,Secunderabad,1234,26,2026-05-02 05:00,North Hyderabad
R001,Madhapur,1482,37,2026-05-02 06:00,West Hyderabad
R002,Banjara Hills,1620,26,2026-05-02 06:00,Central City
R003,Secunderabad,1051,26,2026-05-02 06:00,North Hyderabad
R001,Madhapur,1304,39,2026-05-02 07:00,West Hyderabad
R002,Banjara Hills,1958,32,2026-05-02 07:00,Central City
R003,Secunderabad,1230,40,2026-05-02 07:00,North Hyderabad
R001,Madhapur,1775,36,2026-05-02 08:00,West Hyderabad
R002,Banjara Hills,1582,32,2026-05-02 08:00,Central City
R003,Secunderabad,1737,31,2026-05-02 08:00,North Hyderabad
R001,Madhapur,959,38,2026-05-02 09:00,West Hyderabad
R002,Banjara Hills,1298,37,2026-05-02 09:00,Central City
R003,Secunderabad,1706,20,2026-05-02 09:00,North Hyderabad
R001,Madhapur,1460,31,2026-05-02 10:00,West Hyderabad
R002,Banjara Hills,1841,22,2026-05-02 10:00,Central City
R003,Secunderabad,1180,27,2026-05-02 10:00,North Hyderabad
R001,Madhapur,1751,36,2026-05-02 11:00,West Hyderabad
R002,Banjara Hills,1676,34,2026-05-02 11:00,Central City
